Date,Company Name,Source,Location,State,Designation,Email,Contact Number,Contact Number OF,Internship/Job,Paid,Type Of Work
06-03-2025,PRP Webs,https://www.freshersworld.com/jobs/accountant-jobs-opening-in-prpwebs-at-jaipur-others-jaipur-2621948,Jaipur,Rajasthan,Accountant,team@prpwebs.com,9214930277,Placement Head,Job,Paid,Offline
06-03-2025,NK KOTHARI FINSERVE PRIVATE LIMITED,https://www.freshersworld.com/jobs/financial-analyst-jobs-opening-in-nk-kothari-finserve-private-limited-at-jaipur-others-jaipur-2621389,Jaipur,Rajasthan,Financial Analyst,info@nkkothari.com,1412207118,Human Resources Management,Job,Paid,Offline
06-03-2025,Zucol Services Private Limited,https://www.freshersworld.com/jobs/finance-management-researcher-jobs-opening-in-zucol-services-private-limited-at-jaipur-2242281,Jaipur,Rajasthan,Finance Researcher,info@zucol.in,1414913851,Human Resources Management,Job,Paid,Offline
06-03-2025,Universal Thread Mills,https://www.freshersworld.com/jobs/tally-accountant-jobs-opening-in-universal-thread-mills-at-jagatpura-jaipur-2621262,Jaipur,Rajasthan,Tally Accountant,Kanishk@universalthreads.co.in,9879007450,Staffing Head,Job,Paid,Offline
06-03-2025,Khetri Trust,https://www.freshersworld.com/jobs/accountant-jobs-opening-in-khetri-trust-at-jaipur-others-jaipur-2620143,Jaipur,Rajasthan,Accountant,NA,1414025119,Placement Head,Job,Paid,Offline
06-03-2025,DIGIBYTE,https://www.freshersworld.com/jobs/accountant-senior-accountant-jobs-jaipur-digibyte-1-to-5-years-of-experience-15-february-2025-2620202,Jaipur,Rajasthan,Accountant,info@digibyte.com,8110889199,Placement Head,Job,Paid,Offline
06-03-2025,Client Of Teamlease,https://www.freshersworld.com/jobs/account-executive-jobs-opening-in-client-of-teamlease-at-jaipur-2625076,Jaipur,Rajasthan,Account Executive,info@teamlease.com,8068243000,Human Resources Management,Job,Paid,Offline
06-03-2025,Client of Cassius Technologies,https://www.freshersworld.com/jobs/junior-accountant-jobs-opening-in-client-of-cassius-technologies-at-jodhpur-2598790,Jaipur,Rajasthan,Junior Accountant,info@sulekha.net,8022580438,Human Resources Management,Job,Paid,Offline
06-03-2025,Destiny Entire Solution,https://www.freshersworld.com/jobs/accountant-jobs-opening-in-destiny-entire-solution-at-jaipur-others-jaipur-2561169,Jaipur,Rajasthan,Accountant,destinysolution01@gmail.com,NA,Human Resources Management,Job,Paid,Offline
06-03-2025,Project Eagle,https://cutshort.io/search-jobs?free_text=chartered+Accountant+rajasthan+,Jaipur,Rajasthan,Financial Accountant,info@tarangsanghi.com,NA,Manager,Job,Paid,Offline
